"1";"$3.50";
"2";"$4.00";
"3";"$4.50";
"4";"$4.80";
"5";"$4.95";
"6";"$5.25";
"7";"$5.50";
"8";"$5.55";
"9";"$5.60";
"10";"$5.70";
"11";"$5.90";
"12";"$6.10";
"13";"$6.40";
"14";"$6.80";
"15";"$7.00";
"16";"$7.20";
"17";"$7.75";
"18";"$8.25";
"19";"$9.30";
"20";"$10.95";
"21";"$11.00";
"22";"$12.25";
"23";"$12.50";
"24";"$12.90";
"25";"$13.50";
"26";"$14.00";
"27";"$15.00";
"28";"$15.45";
"29";"$4.80/$7.75";
"30";"$5.25/$6.40";
"31";"$5.25/$9.30";
"32";"$5.70/$12.10";
"33";"$5.90/$11.00";
"34";"$6.40/$9.30";
"35";"$6.40/$11.00";
"36";"$7.00/$12.25";
